name,arabic_name
Najma Al-Fadhiya,äÌãÉ ÇáÝÇÖíÉ
Namer,äÇãÑ
Naseym Gulf,äÓíã ÇáÎáíÌ
Nashwa,äÔæì
Nasser M. Hasson Al-Ghamdi Establishment,ãÄÓÓÉ äÇÕÑ ãÍãÏ ÍÓæä ÇáÛÇãÏí
National Lighting,ÇáÅÖÇÁÉ ÇáæØäíÉ
National Market Company,ÔÑßÉ ÇáÓæÞ ÇáæØäí
National Methanol Company,ÇáÔÑßÉ ÇáæØäíÉ ááãíËÇäæá
Nectar,ÑÍíÞ
Nesrin Tailoring,äÓÑíä ááÎíÇØÉ
New Boy,ÝÊì ÌÏíÏ
New Style,äãØ ÌÏíÏ
New Time Fashion,ÃÒíÇÁ ÇáæÞÊ ÇáÌÏíÏ
New Look,ãÙåÑ ÌÏíÏ
Niklah Al-Khaleej Trading,ÔÑßÉ äÞáå ÇáÎáíÌ ááÊÌÇÑÉ
Nirala Sweets,ÍáæíÇÊ äíÑÇáÇ
Njood,äÌæÏ
No Limit Trading Establishment,ãÄÓÓÉ ÊÌÇÑÉ ÈáÇ ÍÏæÏ
Noor,äæÑ
Noora,äæÑÇ
Odaini,ÃæÏÇíäí
Okaz Commercial,ÚßÇÙ ÇáÊÌÇÑíÉ
Omrania Trading,ÇáÚãÑÇäíÉ ááÊÌÇÑÉ
One Style,äãØ æÇÍÏ
Open Day,íæã ãÝÊæÍ
Orchid,ÇáÓÍáÈ
Nokia Ringtone,äÛãÉ Ñäíä äæßíÇ
OOJ Coldstore,OOJ ßæáÏÓÊæÑ
Oriental Shopping Center (OSC),ãÑßÒ ÇáÊÓæÞ ÇáÔÑÞí (OSC)
Palestine Corner,Ñßä ÝáÓØíä
Panasonic,ÈÇäÇÓæäíß
Paper Moon,ÇáÞãÑ ÇáæÑÞí
Pasta Hot,ÈÇÓÊÇ åæÊ
Peacock Carpet Center,ãÑßÒ ÇáØÇææÓ ááÓÌÇÏ
PETROKEMYA (KEMYA),ÈÊÑæßíãíÇ (ßíãíÇ)
Picnic,äÒåå
Power Trading Establishment,ãÄÓÓÉ ÊÌÇÑÉ ÇáØÇÞÉ
Price House,ÈÑÇíÓ åÇæÓ
Prima Ware,ÈÑíãÇ æíÑ
Project Fertilizer,ãÔÑæÚ ÇáÃÓãÏÉ
Qamber,ÞãÈÑ
Qanbar Dywidag,ÞäÈÑ ÏíæíÏÇÛ
Quba Center,ãÑßÒ ÞÈÇÁ
Quds,ÇáÞÏÓ
Quds Food Supplier,ãæÑÏ ÞÏÓ ááÃÛÐíÉ
Rabie Shopping Center,ãÑßÒ ÑÈíÚ ááÊÓæÞ
Rabieya Charcoal,ÝÍã ÇáÑÈíÚ
Radi Al-Khosah,ÑÇÖí ÇáÎÔÉ
Rafath,ÑÃÝÉ
Rahma,ÑÍãÉ
Raid Store,ãÊÌÑ ÛÇÑÉ
Railways Organization,ãäÙãÉ ÇáÓßß ÇáÍÏíÏíÉ
Rakan Thamez,ÑÇßÇä ËÇãíÒ
Ramada Hotels and Suites,ÝäÇÏÞ æÃÌäÍÉ ÑãÇÏÇ
Ramez Group,ãÌãæÚÉ ÑÇãÒ
Ramz Al-Tawfeer,ÑãÒ ÇáÊæÝíÑ
Ramz Al-Thakfidat,ÑãÒ ÇáÐßÝíÏÇÊ
Rashed Mall,ÑÇÔÏ ãæá
Rassan Copy Center,ãÑßÒ ÑÇÓÇä ááäÓÎ
Rawaa Rawan,ÑæÇÁ ÑæÇä
Rawabi Al-Sham,ÑæÇÈí ÇáÔÇã
Rawaea Al-Tahany,ÑÇæíÉ ÇáØÍÇäí
Rayan (Mazaya Foods),ÑíÇä (ãÒÇíÇ ááÃÛÐíÉ)
Raybal Sweet House,ÑíÈÇá ÓæíÊ åÇæÓ
Razi,ÑÇÒí
Red Cap,ÛØÇÁ ÃÍãÑ
Red Carpet,ÇáÓÌÇÏÉ ÇáÍãÑÇÁ
Reem Sweet,Ñíã ÓæíÊ
Rehab Pharmacy,ÕíÏáíÉ ÑÍÇÈ
Rawan (RF),ÑæÇä (RF)
Rhona,ÑæäÇ
Riaya Hospital,ãÓÊÔÝì ÑíÇíÉ
Riyadh Coldstore,ßæáÏÓÊæÑ ÇáÑíÇÖ
Riyan,ÑíÇä
Roaa,ÑÄì
Romansiah,ÑæãÇäÓíÇ
Roshna Center,ãÑßÒ ÑæÔäÇ
Royal Commission on Health Program,ÈÑäÇãÌ ÇáåíÆÉ ÇáãáßíÉ ááÕÍÉ
Ruwad Al-Arab Factory,ãÕäÚ ÑæÇÏ ÇáÚÑÈ
Saad Specialist Hospital,ãÓÊÔÝì ÓÚÏ ÇáÊÎÕÕí
Sabic Terminal Services Medical Clinic,ÚíÇÏÉ ÓÇÈß ááÎÏãÇÊ ÇáØÈíÉ
SADAF,ÕÏÝ
Saeed B. Balhaddad,ÓÚíÏ Èä ÚÈÏÇáÍÏÇÏ
Saer Al-Insab,ÓÇíÑ ÇáÅäÓÈ
Saer Al-Mukhafad,ÓÇíÑ ÇáãÎÇÈÑÇÊ
Safa Foods,ÕÝÇ ááÃÛÐíÉ
Safar Fashion,ÓÝÑ ÝÇÔæä
SAFCO,ÓÇÝßæ
Royal Carpet,ÑæíÇá ßÇÑÊ
Sahara Petrochemicals,ÇáÕÍÑÇÁ ááÈÊÑæßíãÇæíÇÊ
Sahdi Meats,ÇááÍæã ÇáÓåÏíÉ
Saihati Grocery,ÈÞÇáÉ ÓíåÇÊí
Salahudin Pastry,ãÚÌäÇÊ ÕáÇÍ ÇáÏíä
Saleh Saghyer Trading Establishment,ãÄÓÓÉ ÕÇáÍ ÇáÕÛíÑ ááÊÌÇÑÉ
Saline Water Conversion Corporation,ÔÑßÉ ÊÍáíÉ ÇáãíÇå ÇáãÇáÍÉ
Salman Exhibition,ãÚÑÖ ÓáãÇä
SAM Computer,ÓÇã ááßãÈíæÊÑ
Sameh,ÓÇãÍ
Safsaf Restaurant,ãØÚã ÕÝÓÝ
Saiadiah Restaurant,ãØÚã ÇáÓíÇÏíÉ
Samel Trading Center,ãÑßÒ ÓÇãá ÇáÊÌÇÑí
Sameway Shopping Center,ãÑßÒ ÊÓæÞ Sameway
Samhan,ÓãÍÇä
Samir Al-Nassirin,ÓãíÑ ÇáäÇÕÑíä
Samposa Peladi,ÓÇãÈæÓÇ ÈíáÇÏí
Sanabel Al-Kher,ÓäÇÈá ÇáÎíÑ
Sanabel Al-Sharq,ÓäÇÈá ÇáÔÑÞ
Sanabil Al-Jnoub (AJS),ÓäÇÈá ÇáÌäæÈ (AJS)
Sara Studio,ÓÇÑÉ ÓÊæÏíæ
Sarekh Hassa,ÓÇÑíÎ ÃÓÇ
Saudi Arabic Store,ãÊÌÑ ÚÑÈí ÓÚæÏí
Saudi Aramco,ÃÑÇãßæ ÇáÓÚæÏíÉ
Saudi Broasted,ÈÑæÓÊ ÓÚæÏí
Saudi Cattering,ÇáÊãæíä ÇáÓÚæÏí
Saudi Holladi Bank,Èäß ÇáåæáÇÏí ÇáÓÚæÏí
Saudi Methanol Company,ÇáÔÑßÉ ÇáÓÚæÏíÉ ááãíËÇäæá
Saudi Textiles Thuqbah,ÇáãäÓæÌÇÊ ÇáÓÚæÏíÉ ÇáËÞÈÉ
Sayadine,ÓíÇÏíä
Sayary Ice Factory,ãÕäÚ ÓÇíÇÑí ááËáÌ
S-Chem Clinic,ÚíÇÏÉ ÅÓ ßíã
Sea and Shore Restaurant,ãØÚã Óí ÇäÏ ÔæÑ
Sehaiban Fashion,ÃÒíÇÁ ÓåÇíÈÇä
Seventy Five (75),ÎãÓÉ æÓÈÚæä (75)
Shahe,ÔÇå
Shamayil Al-Rabie Shopping Center,ãÑßÒ ÇáÔãÇíá ÇáÑÈíÚ ááÊÓæÞ
Shamel Group,ãÌãæÚÉ ÔÇãá
Sharif Pharmacy,ÕíÏáíÉ ÔÑíÝ
Sharour Restaurant,ãØÚã ÔÑæÑ
Shawaia,ÇáÔæÇíÉ
Shehri Center Ya Balash,ãÑßÒ ÔåÑí íÇ ÈáÇÔ
Shehri Plaza,ÔåÑí ÈáÇÒÇ
Shihac Supply,ÊæÑíÏ Shihac
Shimal Charcoal,ÝÍã ÔãÇá
Shiyuk Coffee,ÞåæÉ Ôíæß
Shkoor Trading Establishment,ãÄÓÓÉ ÔßæÑ ÇáÊÌÇÑíÉ
Shroq Factory,ãÕäÚ ÔÑæÞ
Sidra Fashion,ÓÏÑÉ ÝÇÔæä
Silky,ÍÑíÑí
Silver Needle,ÅÈÑÉ ÝÖíÉ
Sinaa Center,ãÑßÒ ÓíäÇÁ
Sanam Naifat Center,ãÑßÒ ÓäÇã äÇÆÝÇÊ
SIPCHEM,ÓíÈßíã
Soft Touch,áãÓÉ äÇÚãÉ
Soudier Store,ãÊÌÑ ÓæÏíÑ
Souq Fashion,ÓæÞ ÝÇÔæä
Small Millionaire,ÇáãáíæäíÑ ÇáÕÛíÑ
Star,äÌã
Star Roaster,ÓÊÇÑ ÑæÓÊÑ
Star Center,ãÑßÒ ÇáäÌæã
Star Nut,ÓÊÇÑ ÇáÌæÒ
Star Shopping Center,ãÑßÒ ÊÓæÞ ÓÊÇÑ
Studio Banat,ÇÓÊæÏíæ ÈäÇÊ
Suelah Charcoal,ÓæíáÇ ÝÍã
Suhaili,Óåíáí
Sumaiyah,ÓãíÉ
Sun Sweet,Õä ÓæíÊ
Sunset Beach Supemarket,Õä ÓíÊ ÈíÊÔ ÓæÈí ãÇÑßÊ
Super Corner,ÓæÈÑ ßæÑäÑ
Super Corner (Jamalak),ÓæÈÑ ßæÑäÑ (Ìãáß)
Supplies,ãÄä
Surprice,ÓæÑÈÑÇíÓ
Sweet Corner,ÓæíÊ ßæÑäÑ
Tabbaq Tabbaq Restaurant,ãØÚã ØÈÞ
Tafaneen,ÊÇÝäíä
Taj Al-Awael,ÊÇÌ ÇáÃæÇÆá
Taj Al-Khaleej Trading Establishment,ãÄÓÓÉ ÊÇÌ ÇáÎáíÌ ÇáÊÌÇÑíÉ
Tala Al-Khalij Trading Est.,ãÄÓÓÉ ÊÇáÇ ÇáÎáíÌ ÇáÊÌÇÑíÉ
Tannour Bakery,ãÎÈÒ ÊäæÑ
Taqs,Taqs
Taslya Al-Watania Trading Establishment,ãÄÓÓÉ ÊÓáíÉ ÇáæØäíÉ ÇáÊÌÇÑíÉ
Taybah,ØíÈÉ
Tekno Your Shop,Êßäæ ãÊÌÑß
Thoraya Telecom,ËÑíÇ ááÅÊÕÇáÇÊ
Thoufeer,ËæÝÑ
Thuqbah Cloth Center (TCC),ãÑßÒ ÇáËÞÈÉ ááÃÞãÔÉ (TCC)
Tifel Al-Radia,ÊíÝá ÇáÑÇÖíÉ
Top Ten,ÇáÚÔÑÉ ÇáÃæÇÆá
Top World,ÃÚáì ÇáÚÇáã
Tous Sweet,ÊæÓ ÓæíÊ
Towfu (Tokwa),ÊæÝæ (ÊæßæÇ)
Towline,ÍÈá ÇáÓÍÈ
Technical Home,ÇáÕÝÍÉ ÇáÑÆíÓíÉ ÇáÝäíÉ
Toys Corner,Ñßä ÇáÃáÚÇÈ
Toys Planet,ÊæíÒ ÈáÇäíÊ
Twaigera Group,ãÌãæÚÉ ÊæíÌíÑÇ
Um-Alsahik Al-Ahliya Pharmacy,ÕíÏáíÉ Ãã ÇáÓÇÍÞ ÇáÃåáíÉ
United Company Clinic,ÚíÇÏÉ ÇáÔÑßÉ ÇáãÊÍÏÉ
Uzam Health Medecine Clinic,ÚíÇÏÉ ÃæÒÇã ÇáÕÍíÉ ááØÈ
Vita Food Company,ÔÑßÉ ÝíÊÇ ááÃÛÐíÉ
Vogue,ÑÇÆÌ
Wafed (AF),æÇÝÏ (AF)
Waha Charcoal,æÇÍÉ ÝÍã
Wahat Al-Ahram,æÇÍÉ ÇáÃåÑÇã
Wahat Al-Andalus,æÇÍÉ ÇáÃäÏáÓ
Wahat Al-Asaar,æÇÍÉ ÇáÚÕÇÑ
Waraa Center,ãÑßÒ æÑÇÁ
Warq,æÑÇÞ
Washa,æÔÇ
Wassil Paper Product Company,ÔÑßÉ ÇáæÇÕá ááãäÊÌÇÊ ÇáæÑÞíÉ
Wazzan Restaurant,ãØÚã æÒÇä
We One Shopping Center,ãÑßÒ ÊÓæÞ æí æä
Welcome,ÃåáðÇ æÓåáðÇ
Weraq Studio Service,ÎÏãÉ ÇÓÊæÏíæ æÑÇÞ
Wessam Hotel,ÝäÏÞ æÓÇã
Wessam Sweets,ÍáæíÇÊ æÓÇã
Wisam,æÓÇã
Wlaim Charcoal,ÝÍã ÇááÇíã
World Dessert,Íáæì ÇáÚÇáã
World of Savings,ÚÇáã ÇáÇÏÎÇÑ
Yafae Jewelry,ãÌæåÑÇÊ íÇÝÇÁ
Yassir Trading Establishment,ãÄÓÓÉ íÇÓÑ ÇáÊÌÇÑíÉ
Your Choice,ÇÎÊíÇÑß
Yousif Pharmacy,ÕíÏáíÉ íæÓÝ
Yousuf Karam Sufra,íæÓÝ ßÑã ÓÝÑÉ
Z,Z
Zalzale,ÒÇáÒÇá
Z Power,Z ÈÇæÑ
Zahrani Trading,ÇáÒåÑÇäí ááÊÌÇÑÉ
Zamal Manahi,ÒãÇá ãäÇÍí
Zanobbia Style,ÃÓáæÈ ÒÇäæÈíÇ
Zarah Al-Mulwana,ÒÇÑÉ ÇáãáæÇäíÉ
Zohoor Pizza,ÈíÊÒÇ ÒåæÑ
Asil Charcoal,ÝÍã ÃÕíá
Cytotoxic Waste,ÇáäÝÇíÇÊ ÇáÓÇãÉ ááÎáÇíÇ
Aqee (Sharbal),ÚÞí (ÔÇÑÈá)
Best Friends,ÃÚÒ ÇáÃÕÏÞÇÁ
Taxi,ÊÇßÓí
Masal Al-Reem,ãÓÇá ÇáÑíã
Ajaeb Al-Jazzera,ÚÌíÈ ÇáÌÒíÑÇ
Amwaj Al-Seef,ÃãæÇÌ ÇáÓíÝ
Safir Restaurant,ãØÚã ÓÝíÑ
Sandellas Flat Bread,ÎÈÒ ÓÇäÏíáÇÓ ãÓØÍ
2000 Telecom,2000 ááÇÊÕÇáÇÊ
King Star Shopping Mall,ãÑßÒ ßíäÌ ÓÊÇÑ ááÊÓæÞ
Wesam Al-Tawfeer,æÓÇã ÇáÊæÝíÑ
Anaqah Al-Saudia,ÚäÇÞÉ ÇáÓÚæÏíÉ
Hanii Mobile,åÇäí ãæÈÇíá
Samarain Charcoal,ÝÍã ÓÇãÇÑíä
Mishab Trading Establishment,ãÄÓÓÉ ãÔÇÈ ÇáÊÌÇÑíÉ
Natharat Fee (NF),äËÇÑÇÊ ÝÇí (NF)
Kifah,ßÝÇÍ
Eastern Gate Restaurant,ãØÚã ÇáÈæÇÈÉ ÇáÔÑÞíÉ
Najmat Al-Tawfeer,äÌãÊ ÇáÊæÝíÑ
Gamat Al-Hassa,ÌÇãÚ ÇáÃÍÓÇÁ
Jamalak,ÌãÇá
Wahit Kawatim,æåíÊ ßæÇÊíã
Mazaya Al-Haram,ãÒÇíÇ ÇáåÑã
Plastic Recycling,ÅÚÇÏÉ ÊÏæíÑ ÇáÈáÇÓÊíß
Shawarma Webass,ÔÇæÑãÇ æíÈ
Sharq Al-Awsat,ÔÑÞ ÇáÃæÓØ
Rashaqa Waljamal (Citraria),ÑÔÞÉ æÇáÌãÇá (ÓíÊÑíÇ)
Muntazah,ãäÊÒå
Ghawar Restaurant,ãØÚã ÇáÛæÇÑ
Silk House,ÈíÊ ÇáÍÑíÑ
Planet Fashion,ÃÒíÇÁ ÇáßæßÈ
Unique Perfumes,ÚØæÑ ÝÑíÏÉ ãä äæÚåÇ
Dar Perfumes,ÏÇÑ ááÚØæÑ
Mouda,ãæÏì
Judh Restaurant,ãØÚã ÌæÏ
Fashion Point,äÞØÉ ÇáãæÖÉ
Ataa,ÚØÇÁ
Sanabis,ÇáÓäÇÈÓ
Ashrakt Al-Sharqiyah,ÃÔÑÇßÊ ÇáÔÑÞíÉ
Zain City,ãÏíäÉ Òíä
Jubail University College,ßáíÉ ÇáÌÈíá ÇáÌÇãÚíÉ
Najimat Shoes,ÃÍÐíÉ äÌãÇÊ
Dorob,ÏæÑæÈ
Pakistani,ÈÇßÓÊÇäí
Abanamy Hospital,ãÓÊÔÝì ÃÈÇäÇãí
Fertilizer Project,ãÔÑæÚ ÇáÃÓãÏÉ
Mushiri,ãÔíÑí
Raqwani,ÇáÑÞæÇäí
Penshoppe,Penshoppe
Masloum Codstore,Masloum Codstore
Special Bread,ÎÈÒ ÎÇÕ
Darlyn,ÏÇÑáíä
Reem Pizza,ÈíÊÒÇ Ñíã
Maha,ãåÇ
Barkat Super Market,ÓæÈÑ ãÇÑßÊ ÈÑßÇÊ
Saving Corner Center,ãÑßÒ Ñßä ÇáÊæÝíÑ
Bait Al-Robyan,ÈíÊ ÇáÑÈíÇä
Bait Al-Musthalik,ÈíÊ ÇáãÓÊÞÈá
Fugro-Suhaimi,ÝæÛÑæ ÓÍíãí
Neven,äíÝíä
Royal Pillow,æÓÇÏÉ ÑæíÇá
My Home,ÈíÊí
Faisal,ÝíÕá
TravelMate,ÊÑÇÝá ãíÊ
Delta Modern Bakeries,ãÎÇÈÒ ÏáÊÇ ÇáÍÏíËÉ
Huthaili Establishment,ãÄÓÓÉ ÍÐíáí
Fish House,ÈíÊ ÇáÓãß
Wadi Al-Hejaz Charcoal,æÇÏí ÇáÍÌÇÒ ÝÍã
Manal,ãäÇá
Amri Plaza,ÚãÑí ÈáÇÒÇ
Amri Plus for Textiles,ÚãÑí ÈáÓ ááãäÓæÌÇÊ
Jibneys,ÌíÈäíÓ
Ziyad,ÒíÇÏ
Ladin,ÇÏä
Bait Jeddy,ÈíÊ ÌÏí
Mizan Natural,ãíÒÇä ØÈíÚí
Master Point,ãÇÓÊÑ ÈæíäÊ
Opple,ÃæÈá
Malaz Gulf Establishment,ãÄÓÓÉ ãáÇÐ ÇáÎáíÌ
Essa,ÚíÓí
Seasons,ãæÇÓã
Tamimi Co. LTD.,ÔÑßÉ ÇáÊãíãí ÇáãÍÏæÏÉ
Sewing Accessories,ÇßÓÓæÇÑÇÊ ÇáÎíÇØÉ
Faizal Al-Ansari,ÝíÕá ÇáÃäÕÇÑí
Noor Charcoal,äæÑ ÝÍã
Tiger,äãÑ
Markaz Flash,"""ãÑßÒ ÝáÇÔ"""
Fahad Specialist Hospital,ãÓÊÔÝì ÝåÏ ÇáÊÎÕÕí
Fon Fon,Ýæä Ýæä
Kabas,ÞÈÇÓ
New Born Baby Gate,ÈæÇÈÉ ÇáØÝá ÍÏíË ÇáæáÇÏÉ
Saf Saf Restaurant,ãØÚã ÕÝ ÕÇÝ
Sharq Hotel,ÝäÏÞ ÔÑÞ
Abdullah Al-Ghunaim Trading Establishment,ãÄÓÓÉ ÚÈÏÇááå ÇáÛäíã ÇáÊÌÇÑíÉ
EPO,ÇáãßÊÈ ÇáÃæÑæÈí ááÈÑÇÁÇÊ
Amoudi,ÇáÚãæÏí
Jokar,ÌæßÇÑ
Toufeer Al-Mathali,ÊæÝíÑ ÇáãØÚáí
SWCC Employees,ãæÙÝæ ÇáãÄÓÓÉ ÇáÚÇãÉ áãÌáÓ ÇáäæÇÍí
ATT Group,ãÌãæÚÉ ATT
Red Onion,ÈÕá ÃÍãÑ
Huraith Tailor,ÎíÇØ ÍÑíË
Nassej Shahaba,äÇÓíÌ ÔåÇÈÇ
Maghlouth Store,ãÊÌÑ ãÛáæË
ACT,ÝÚá
Mohammed Salim Al-Rashed,ãÍãÏ ÓÇáã ÇáÑÇÔÏ
Tayeb Al-Tazaj,ØíÈ ÇáÊÒÌ
Yahya Spare Parts,ÞØÚ ÛíÇÑ íÍíì
Shamsi,ÔãÓí
Advance,ÊÑÞì
Prestige,åíÈå
Misk Al-Jenan,ãÓß ÇáÌäÇä
Golden Tulip Resort,ãäÊÌÚ ÌæáÏä ÊæáíÈ
Crown Plaza,ßÑÇæä ÈáÇÒÇ
KSFH,KSFH
Lebanes Bakery,ãÎÈÒ áÈäÇä
Jazeerat Al-Salam Trading Est.,ãÄÓÓÉ ÌÒíÑÉ ÇáÓáÇã ÇáÊÌÇÑíÉ
Eastern Cement Employee Cooperative,ÊÚÇæäíÉ ãæÙÝí ÇáÃÓãäÊ ÇáÔÑÞíÉ
Good Morning,ÕÈÇÍ ÇáÎíÑ
Ahmad Abdullah Al-Dawood Est.,ãÄÓÓÉ ÃÍãÏ ÚÈÏÇááå ÇáÏÇæÏ
Fakher Charcoal,ÝÍã ÝÇÎÑ
WESCOSA,æíÓßæÒÇ
Taj Restaurant,ãØÚã ÊÇÌ
Burger Stop,ÈÑÌÑ ÓÊæÈ
Royal Chicken,ÏÌÇÌ ÑæíÇá
Barq,ÈÑÞ
Lulu Al-Khaleej,áæáæ ÇáÎáíÌ
Onasa,ÃæäÇÓÇ
Dento Plast Center,ãÑßÒ ÏíäÊæ ÈáÇÓÊ
Gulf Hygenic,ÇáÎáíÌ ááÕÍÉ
Discount Village,ÞÑíÉ ÇáÎÕã
Tawasul Center,ãÑßÒ ÊæÇÕá
Bani Hashem Qanber,Èäí åÇÔã ÞäÈÑ
Shawermat,ÔÇæÑãÇÊ
Yahyah Parts Center,ãÑßÒ ÞØÚ ÛíÇÑ íÍíì
Rose Restaurant,ãØÚã ÑæÒ
Mabshoor House,ÈíÊ ãÈÔæÑ
Gulf Fasterners Company,ÔÑßÉ ÌáÝ ÝÇÓÊäÑ
Super Royal,ÓæÈÑ ÑæíÇá
Classic Charcoal,ÇáÝÍã ÇáßáÇÓíßí
Hamra Perfumes,ÍãÑÇ ááÚØæÑ
Hello Romance,ãÑÍÈÇ ÇáÑæãÇäÓíÉ
Wedad Kitchen,ãØÈÎ æÏÇÏ
Ahmad Ice Plant,ãÕäÚ ÃÍãÏ ááËáÌ
Mulla Engineering And Consulting Office,ãßÊÈ ÇáãáÇ ááåäÏÓÉ æÇáÇÓÊÔÇÑÇÊ
Al Bin Humda Electronics,Èä ÍãÏÉ ááÅáßÊÑæäíÇÊ
Computer Bags,ÍÞÇÆÈ ÇáßãÈíæÊÑ
Dana Cattering Services,ÏÇäÉ áÎÏãÇÊ ÇáÊãæíä
Saad Trading,ÓÚÏ ááÊÌÇÑÉ
Alam Al-Thakfidat,ÚÇáã ÇáÐßÝíÏÇÊ
Mas Trading,ãÇÓ ááÊÌÇÑÉ
Costa Juice,ÚÕíÑ ßæÓÊÇ
Nawashit Restaurant,ãØÚã äæÇÔíÊ
Hamdani,ÍãÏÇäí
Lawamea,áæÇÚãíÉ
Ashab Al-Khissa,ÃÕÍÇÈ ÇáÎÕÉ
Annaba Shoes Center,ãÑßÒ ÃÍÐíÉ ÚäÇÈÉ
Raiaana Shoes,ÃÍÐíÉ ÑíÇäÇ
Tabuk Shoes & Miss Shoes,ÃÍÐíÉ ÊÈæß æÃÍÐíÉ ãáßÉ ÌãÇá
Fiber Ball Pillow,æÓÇÏÉ ÇáßÑÉ ÇááíÝíÉ
Diameters World for Trading,ÃÞØÇÑ ÇáÚÇáã ááÊÌÇÑÉ
Infectious/Biohazardous Waste,ÇáäÝÇíÇÊ ÇáãÚÏíÉ / ÇáÎØÑÉ ÈíæáæÌíÇ
Infectious Waste/Biohardous Waste,ÇáäÝÇíÇÊ ÇáãÚÏíÉ / ÇáäÝÇíÇÊ ÇáÍíæíÉ ÇáÕáÈÉ
Bakhour Charcoal,ÝÍã ÇáÈÎæÑ
Sabic,ÓÇÈß
ChiCkoos,ÊÔíßæÓ
KKMC Hospital,ãÓÊÔÝì KKMC
Hillal,åáÇá
Juton Paints,ÏåÇäÇÊ ÌæÊæä
Abeer 2,ÚÈíÑ 2
Mashriq Al-Khaleej,ãÔÑÞ ÇáÎáíÌ
Seafoods Restaurant,ãØÚã ÇáãÃßæáÇÊ ÇáÈÍÑíÉ
Jamiyah Safwa,ÌÇãÚ ÇáÕÝæÉ
Japjapa,ÌÇÈÌÇÈÇ
Jasim,ÌÇÓã
Matco,ãÇÊßæ
Wajaha,æÌÇåÉ
Mohammad Al-Aradi,ãÍãÏ ÇáÚÑÇÏí
Azhar Al-Rabi Co. 5,ÔÑßÉ ÃÒåÑ ÇáÑÈíÚ 5
Azhar Al-Rabi Co. 3,ÔÑßÉ ÃÒåÑ ÇáÑÈíÚ 3
Sharq International School,ãÏÑÓÉ ÔÑÞ ÇáÏæáíÉ
EZ Restaurant,ãØÚã EZ
Keyboard For Computer,áæÍÉ ãÝÇÊíÍ ááßãÈíæÊÑ
East Central,ÅíÓÊ ÓäÊÑÇá
Ryan Supermarket,ÑíÇä ÓæÈÑ ãÇÑßÊ
Munjif,ãäÌÝ
Platinum Casual,ÈáÇÊíäíæã ßÇÌæÇá
Shamel Plaza,ÔÇãá ÈáÇÒÇ
Steinike Hall (SH),ÞÇÚÉ ÔÊÇíäíß (SH)
Banoosh Foodstuff Est.,ãÄÓÓÉ ÈÇäæÔ ááãæÇÏ ÇáÛÐÇÆíÉ
Shamasi,ÔãÇÓí
Shabba Trading Est.,ãÄÓÓÉ ÔÈÇ ááÊÌÇÑÉ
Red Ribbons,ÔÑÇÆØ ÍãÑÇÁ
Ali Al-Dossary,Úáí ÇáÏæÓÑí
Rehmani,ÑÍãÇäí
Rashid Plaza,ÑÇÔÏ ÈáÇÒÇ
Elegant Palace,ÇáÞÕÑ ÇáÃäíÞ
Sabaya Cosmetics,ÕÈÇíÇ áãÓÊÍÖÑÇÊ ÇáÊÌãíá
Bin Qadeem Stores Trading,ÊÌÇÑÉ ãÎÇÒä Èä ÞÏíã
Bader,ÈÏÑ
Adnan,ÚÏäÇä
Karzakan,ßÑÒßÇä
Karana,ßÇÑÇäÇ
Amary,ÚÇãÑí
Sharqia,ÇáÔÑÞíÉ
Umkhalid,ÃãÎÇáíÏ
Fakhamah,ÝÎãÉ
Soroor,ÓæÑæÑ
General Store 2,ÇáãÊÌÑ ÇáÚÇã 2
Rashad Center,ãÑßÒ ÑÔÇÏ
Well Done,ÃÍÓäÊ
Dijla Poultry Farm,ãÒÑÚÉ ÏæÇÌä ÏÌáÉ
Sarekh Dammam,ÓÇÑÎ ÇáÏãÇã
S & S Sima,Ó ÂäÏ ÅÓ ÓíãÇ
Layan Auto Parts,áíÇä ÞØÚ ÛíÇÑ ÇáÓíÇÑÇÊ
White Rose,ÇáæÑÏÉ ÇáÈíÖÇÁ
Baby Dream,ÈíÈí ÏÑíã
Jamrat Hajar,ÌãÑÇÊ ÍÌÑ
Kawser,ßæËÑ
Industrial Trading House (ITH),ÈíÊ ÇáÊÌÇÑÉ ÇáÕäÇÚí (ITH)
Tahir Group,ãÌãæÚÉ ÇáØÇåÑ
Mohammed Al-Tamimi,ãÍãÏ ÇáÊãíãí
Ekhtiyar Al-Mustahlaq Super Market,ÓæÈÑ ãÇÑßÊ ÅÎÊíÇÑ ÇáãÓÊÞá.
Crispy and Spicy,ßÑÓÈí ÂäÏ ÓÈÇíÓí
Beauty Scarf,æÔÇÍ ÇáÌãÇá
Shifa AL-Jubail Pharmacy,ÕíÏáíÉ ÔÝÇÁ ÇáÌÈíá
Falak,Ýáß
Adwa Al-Ekhtiyar Center,ãÑßÒ ÚÏæì ÇáÊÎÕÕ
Ayoop,ÃíæÈ
Abayat Al-Hasna,ÚÈÇíÉ ÇáÍÓäÇÁ
DEBAJ AL-RAKI CENTER,ãÑßÒ ÏíÈÇÌ ÇáÑÇßí
Thabeay Restaurant,ãØÚã ÐÈíÚ
roshna,ÑæÔäÇ
Rafa Pharmacy,ÕíÏáíÉ ÑÇÝÇ
SARAYA CENTER,ãÑßÒ ÓÑÇíÇ
DAR AL-TOFOLAH,ÏÇÑ ÇáØÝæáÉ
MUKHTARAH,ãÎÊÇÑÉ
