name,arabic_name
Nasser M. Hasson Al-Ghamdi Establishment,ãÄÓÓÉ äÇÕÑ ãÍãÏ ÍÓæä ÇáÛÇãÏí
National Lighting,ÇáÅÖÇÁÉ ÇáæØäíÉ
National Market Company,ÔÑßÉ ÇáÓæŞ ÇáæØäí
National Methanol Company,ÇáÔÑßÉ ÇáæØäíÉ ááãíËÇäæá
Nectar,ÑÍíŞ
Nesrin Tailoring,äÓÑíä ááÎíÇØÉ
New Boy,İÊì ÌÏíÏ
New Style,äãØ ÌÏíÏ
New Time Fashion,ÃÒíÇÁ ÇáæŞÊ ÇáÌÏíÏ
New Look,ãÙåÑ ÌÏíÏ
Niklah Al-Khaleej Trading,ÔÑßÉ äŞáå ÇáÎáíÌ ááÊÌÇÑÉ
Nirala Sweets,ÍáæíÇÊ äíÑÇáÇ
Njood,äÌæÏ
No Limit Trading Establishment,ãÄÓÓÉ ÊÌÇÑÉ ÈáÇ ÍÏæÏ
Noor,äæÑ
Noora,äæÑÇ
Odaini,ÃæÏÇíäí
Okaz Commercial,ÚßÇÙ ÇáÊÌÇÑíÉ
Omrania Trading,ÇáÚãÑÇäíÉ ááÊÌÇÑÉ
One Style,äãØ æÇÍÏ
Open Day,íæã ãİÊæÍ
Orchid,ÇáÓÍáÈ
Nokia Ringtone,äÛãÉ Ñäíä äæßíÇ
OOJ Coldstore,OOJ ßæáÏÓÊæÑ
Oriental Shopping Center (OSC),ãÑßÒ ÇáÊÓæŞ ÇáÔÑŞí (OSC)
Palestine Corner,Ñßä İáÓØíä
Panasonic,ÈÇäÇÓæäíß
Paper Moon,ÇáŞãÑ ÇáæÑŞí
Pasta Hot,ÈÇÓÊÇ åæÊ
Peacock Carpet Center,ãÑßÒ ÇáØÇææÓ ááÓÌÇÏ
PETROKEMYA (KEMYA),ÈÊÑæßíãíÇ (ßíãíÇ)
Picnic,äÒåå
Power Trading Establishment,ãÄÓÓÉ ÊÌÇÑÉ ÇáØÇŞÉ
Price House,ÈÑÇíÓ åÇæÓ
Prima Ware,ÈÑíãÇ æíÑ
Project Fertilizer,ãÔÑæÚ ÇáÃÓãÏÉ
Qamber,ŞãÈÑ
Qanbar Dywidag,ŞäÈÑ ÏíæíÏÇÛ
Quba Center,ãÑßÒ ŞÈÇÁ
Quds,ÇáŞÏÓ
Quds Food Supplier,ãæÑÏ ŞÏÓ ááÃÛĞíÉ
Rabie Shopping Center,ãÑßÒ ÑÈíÚ ááÊÓæŞ
Rabieya Charcoal,İÍã ÇáÑÈíÚ
Radi Al-Khosah,ÑÇÖí ÇáÎÔÉ
Rafath,ÑÃİÉ
Rahma,ÑÍãÉ
Raid Store,ãÊÌÑ ÛÇÑÉ
Railways Organization,ãäÙãÉ ÇáÓßß ÇáÍÏíÏíÉ
Rakan Thamez,ÑÇßÇä ËÇãíÒ
Ramada Hotels and Suites,İäÇÏŞ æÃÌäÍÉ ÑãÇÏÇ
Ramez Group,ãÌãæÚÉ ÑÇãÒ
Ramz Al-Tawfeer,ÑãÒ ÇáÊæİíÑ
Ramz Al-Thakfidat,ÑãÒ ÇáĞßİíÏÇÊ
Rashed Mall,ÑÇÔÏ ãæá
Rassan Copy Center,ãÑßÒ ÑÇÓÇä ááäÓÎ
Rawaa Rawan,ÑæÇÁ ÑæÇä
Rawabi Al-Sham,ÑæÇÈí ÇáÔÇã
Rawaea Al-Tahany,ÑÇæíÉ ÇáØÍÇäí
Rayan (Mazaya Foods),ÑíÇä (ãÒÇíÇ ááÃÛĞíÉ)
Raybal Sweet House,ÑíÈÇá ÓæíÊ åÇæÓ
Razi,ÑÇÒí
Red Cap,ÛØÇÁ ÃÍãÑ
Red Carpet,ÇáÓÌÇÏÉ ÇáÍãÑÇÁ
Reem Sweet,Ñíã ÓæíÊ
Rehab Pharmacy,ÕíÏáíÉ ÑÍÇÈ
Rawan (RF),ÑæÇä (RF)
Rhona,ÑæäÇ
Riaya Hospital,ãÓÊÔİì ÑíÇíÉ
Riyadh Coldstore,ßæáÏÓÊæÑ ÇáÑíÇÖ
Riyan,ÑíÇä
Roaa,ÑÄì
Romansiah,ÑæãÇäÓíÇ
Roshna Center,ãÑßÒ ÑæÔäÇ
Royal Commission on Health Program,ÈÑäÇãÌ ÇáåíÆÉ ÇáãáßíÉ ááÕÍÉ
Ruwad Al-Arab Factory,ãÕäÚ ÑæÇÏ ÇáÚÑÈ
Saad Specialist Hospital,ãÓÊÔİì ÓÚÏ ÇáÊÎÕÕí
Sabic Terminal Services Medical Clinic,ÚíÇÏÉ ÓÇÈß ááÎÏãÇÊ ÇáØÈíÉ
SADAF,ÕÏİ
Saeed B. Balhaddad,ÓÚíÏ Èä ÚÈÏÇáÍÏÇÏ
Saer Al-Insab,ÓÇíÑ ÇáÅäÓÈ
Saer Al-Mukhafad,ÓÇíÑ ÇáãÎÇÈÑÇÊ
Safa Foods,ÕİÇ ááÃÛĞíÉ
Safar Fashion,ÓİÑ İÇÔæä
SAFCO,ÓÇİßæ
Royal Carpet,ÑæíÇá ßÇÑÊ
Sahara Petrochemicals,ÇáÕÍÑÇÁ ááÈÊÑæßíãÇæíÇÊ
Sahdi Meats,ÇááÍæã ÇáÓåÏíÉ
Saihati Grocery,ÈŞÇáÉ ÓíåÇÊí
Salahudin Pastry,ãÚÌäÇÊ ÕáÇÍ ÇáÏíä
Saleh Saghyer Trading Establishment,ãÄÓÓÉ ÕÇáÍ ÇáÕÛíÑ ááÊÌÇÑÉ
Saline Water Conversion Corporation,ÔÑßÉ ÊÍáíÉ ÇáãíÇå ÇáãÇáÍÉ
Salman Exhibition,ãÚÑÖ ÓáãÇä
SAM Computer,ÓÇã ááßãÈíæÊÑ
Sameh,ÓÇãÍ
Safsaf Restaurant,ãØÚã ÕİÓİ
Saiadiah Restaurant,ãØÚã ÇáÓíÇÏíÉ
Samel Trading Center,ãÑßÒ ÓÇãá ÇáÊÌÇÑí
Sameway Shopping Center,ãÑßÒ ÊÓæŞ Sameway
Samhan,ÓãÍÇä
Samir Al-Nassirin,ÓãíÑ ÇáäÇÕÑíä
Samposa Peladi,ÓÇãÈæÓÇ ÈíáÇÏí
Sanabel Al-Kher,ÓäÇÈá ÇáÎíÑ
Sanabel Al-Sharq,ÓäÇÈá ÇáÔÑŞ
Sanabil Al-Jnoub (AJS),ÓäÇÈá ÇáÌäæÈ (AJS)
Sara Studio,ÓÇÑÉ ÓÊæÏíæ
Sarekh Hassa,ÓÇÑíÎ ÃÓÇ
Saudi Arabic Store,ãÊÌÑ ÚÑÈí ÓÚæÏí
Saudi Aramco,ÃÑÇãßæ ÇáÓÚæÏíÉ
Saudi Broasted,ÈÑæÓÊ ÓÚæÏí
Saudi Cattering,ÇáÊãæíä ÇáÓÚæÏí
Saudi Holladi Bank,Èäß ÇáåæáÇÏí ÇáÓÚæÏí
Saudi Methanol Company,ÇáÔÑßÉ ÇáÓÚæÏíÉ ááãíËÇäæá
Saudi Textiles Thuqbah,ÇáãäÓæÌÇÊ ÇáÓÚæÏíÉ ÇáËŞÈÉ
Sayadine,ÓíÇÏíä
Sayary Ice Factory,ãÕäÚ ÓÇíÇÑí ááËáÌ
S-Chem Clinic,ÚíÇÏÉ ÅÓ ßíã
Sea and Shore Restaurant,ãØÚã Óí ÇäÏ ÔæÑ
Sehaiban Fashion,ÃÒíÇÁ ÓåÇíÈÇä
Seventy Five (75),ÎãÓÉ æÓÈÚæä (75)
Shahe,ÔÇå
Shamayil Al-Rabie Shopping Center,ãÑßÒ ÇáÔãÇíá ÇáÑÈíÚ ááÊÓæŞ
Shamel Group,ãÌãæÚÉ ÔÇãá
Sharif Pharmacy,ÕíÏáíÉ ÔÑíİ
Sharour Restaurant,ãØÚã ÔÑæÑ
Shawaia,ÇáÔæÇíÉ
Shehri Center Ya Balash,ãÑßÒ ÔåÑí íÇ ÈáÇÔ
Shehri Plaza,ÔåÑí ÈáÇÒÇ
Shihac Supply,ÊæÑíÏ Shihac
Shimal Charcoal,İÍã ÔãÇá
Shiyuk Coffee,ŞåæÉ Ôíæß
Shkoor Trading Establishment,ãÄÓÓÉ ÔßæÑ ÇáÊÌÇÑíÉ
Shroq Factory,ãÕäÚ ÔÑæŞ
Sidra Fashion,ÓÏÑÉ İÇÔæä
Silky,ÍÑíÑí
Silver Needle,ÅÈÑÉ İÖíÉ
Sinaa Center,ãÑßÒ ÓíäÇÁ
Sanam Naifat Center,ãÑßÒ ÓäÇã äÇÆİÇÊ
SIPCHEM,ÓíÈßíã
Soft Touch,áãÓÉ äÇÚãÉ
Soudier Store,ãÊÌÑ ÓæÏíÑ
Souq Fashion,ÓæŞ İÇÔæä
Small Millionaire,ÇáãáíæäíÑ ÇáÕÛíÑ
Star,äÌã
Star Roaster,ÓÊÇÑ ÑæÓÊÑ
Star Center,ãÑßÒ ÇáäÌæã
Star Nut,ÓÊÇÑ ÇáÌæÒ
Star Shopping Center,ãÑßÒ ÊÓæŞ ÓÊÇÑ
Studio Banat,ÇÓÊæÏíæ ÈäÇÊ
Suelah Charcoal,ÓæíáÇ İÍã
Suhaili,Óåíáí
Sumaiyah,ÓãíÉ
Sun Sweet,Õä ÓæíÊ
Sunset Beach Supemarket,Õä ÓíÊ ÈíÊÔ ÓæÈí ãÇÑßÊ
Super Corner,ÓæÈÑ ßæÑäÑ
Super Corner (Jamalak),ÓæÈÑ ßæÑäÑ (Ìãáß)
Supplies,ãÄä
Surprice,ÓæÑÈÑÇíÓ
Sweet Corner,ÓæíÊ ßæÑäÑ
Tabbaq Tabbaq Restaurant,ãØÚã ØÈŞ
Tafaneen,ÊÇİäíä
Taj Al-Awael,ÊÇÌ ÇáÃæÇÆá
Taj Al-Khaleej Trading Establishment,ãÄÓÓÉ ÊÇÌ ÇáÎáíÌ ÇáÊÌÇÑíÉ
Tala Al-Khalij Trading Est.,ãÄÓÓÉ ÊÇáÇ ÇáÎáíÌ ÇáÊÌÇÑíÉ
Tannour Bakery,ãÎÈÒ ÊäæÑ
Taqs,Taqs
Taslya Al-Watania Trading Establishment,ãÄÓÓÉ ÊÓáíÉ ÇáæØäíÉ ÇáÊÌÇÑíÉ
Taybah,ØíÈÉ
Tekno Your Shop,Êßäæ ãÊÌÑß
Thoraya Telecom,ËÑíÇ ááÅÊÕÇáÇÊ
Thoufeer,ËæİÑ
Thuqbah Cloth Center (TCC),ãÑßÒ ÇáËŞÈÉ ááÃŞãÔÉ (TCC)
Tifel Al-Radia,Êíİá ÇáÑÇÖíÉ
Top Ten,ÇáÚÔÑÉ ÇáÃæÇÆá
Top World,ÃÚáì ÇáÚÇáã
Tous Sweet,ÊæÓ ÓæíÊ
Towfu (Tokwa),Êæİæ (ÊæßæÇ)
Towline,ÍÈá ÇáÓÍÈ
Technical Home,ÇáÕİÍÉ ÇáÑÆíÓíÉ ÇáİäíÉ
Toys Corner,Ñßä ÇáÃáÚÇÈ
Toys Planet,ÊæíÒ ÈáÇäíÊ
Twaigera Group,ãÌãæÚÉ ÊæíÌíÑÇ
Um-Alsahik Al-Ahliya Pharmacy,ÕíÏáíÉ Ãã ÇáÓÇÍŞ ÇáÃåáíÉ
United Company Clinic,ÚíÇÏÉ ÇáÔÑßÉ ÇáãÊÍÏÉ
Uzam Health Medecine Clinic,ÚíÇÏÉ ÃæÒÇã ÇáÕÍíÉ ááØÈ
Vita Food Company,ÔÑßÉ İíÊÇ ááÃÛĞíÉ
Vogue,ÑÇÆÌ
Wafed (AF),æÇİÏ (AF)
Waha Charcoal,æÇÍÉ İÍã
Wahat Al-Ahram,æÇÍÉ ÇáÃåÑÇã
Wahat Al-Andalus,æÇÍÉ ÇáÃäÏáÓ
Wahat Al-Asaar,æÇÍÉ ÇáÚÕÇÑ
Waraa Center,ãÑßÒ æÑÇÁ
Warq,æÑÇŞ
Washa,æÔÇ
Wassil Paper Product Company,ÔÑßÉ ÇáæÇÕá ááãäÊÌÇÊ ÇáæÑŞíÉ
Wazzan Restaurant,ãØÚã æÒÇä
We One Shopping Center,ãÑßÒ ÊÓæŞ æí æä
Welcome,ÃåáğÇ æÓåáğÇ
Weraq Studio Service,ÎÏãÉ ÇÓÊæÏíæ æÑÇŞ
Wessam Hotel,İäÏŞ æÓÇã
Wessam Sweets,ÍáæíÇÊ æÓÇã
Wisam,æÓÇã
Wlaim Charcoal,İÍã ÇááÇíã
World Dessert,Íáæì ÇáÚÇáã
World of Savings,ÚÇáã ÇáÇÏÎÇÑ
Yafae Jewelry,ãÌæåÑÇÊ íÇİÇÁ
Yassir Trading Establishment,ãÄÓÓÉ íÇÓÑ ÇáÊÌÇÑíÉ
Your Choice,ÇÎÊíÇÑß
Yousif Pharmacy,ÕíÏáíÉ íæÓİ
Yousuf Karam Sufra,íæÓİ ßÑã ÓİÑÉ
Z,Z
Zalzale,ÒÇáÒÇá
Z Power,Z ÈÇæÑ
Zahrani Trading,ÇáÒåÑÇäí ááÊÌÇÑÉ
Zamal Manahi,ÒãÇá ãäÇÍí
Zanobbia Style,ÃÓáæÈ ÒÇäæÈíÇ
Zarah Al-Mulwana,ÒÇÑÉ ÇáãáæÇäíÉ
Zohoor Pizza,ÈíÊÒÇ ÒåæÑ
Asil Charcoal,İÍã ÃÕíá
Cytotoxic Waste,ÇáäİÇíÇÊ ÇáÓÇãÉ ááÎáÇíÇ
Aqee (Sharbal),ÚŞí (ÔÇÑÈá)
Best Friends,ÃÚÒ ÇáÃÕÏŞÇÁ
Taxi,ÊÇßÓí
Masal Al-Reem,ãÓÇá ÇáÑíã
Ajaeb Al-Jazzera,ÚÌíÈ ÇáÌÒíÑÇ
Amwaj Al-Seef,ÃãæÇÌ ÇáÓíİ
Safir Restaurant,ãØÚã ÓİíÑ
Sandellas Flat Bread,ÎÈÒ ÓÇäÏíáÇÓ ãÓØÍ
2000 Telecom,2000 ááÇÊÕÇáÇÊ
King Star Shopping Mall,ãÑßÒ ßíäÌ ÓÊÇÑ ááÊÓæŞ
Wesam Al-Tawfeer,æÓÇã ÇáÊæİíÑ
Anaqah Al-Saudia,ÚäÇŞÉ ÇáÓÚæÏíÉ
Hanii Mobile,åÇäí ãæÈÇíá
Samarain Charcoal,İÍã ÓÇãÇÑíä
Mishab Trading Establishment,ãÄÓÓÉ ãÔÇÈ ÇáÊÌÇÑíÉ
Natharat Fee (NF),äËÇÑÇÊ İÇí (NF)
Kifah,ßİÇÍ
Eastern Gate Restaurant,ãØÚã ÇáÈæÇÈÉ ÇáÔÑŞíÉ
Najmat Al-Tawfeer,äÌãÊ ÇáÊæİíÑ
Gamat Al-Hassa,ÌÇãÚ ÇáÃÍÓÇÁ
Jamalak,ÌãÇá
Wahit Kawatim,æåíÊ ßæÇÊíã
Mazaya Al-Haram,ãÒÇíÇ ÇáåÑã
Plastic Recycling,ÅÚÇÏÉ ÊÏæíÑ ÇáÈáÇÓÊíß
Shawarma Webass,ÔÇæÑãÇ æíÈ
Sharq Al-Awsat,ÔÑŞ ÇáÃæÓØ
Rashaqa Waljamal (Citraria),ÑÔŞÉ æÇáÌãÇá (ÓíÊÑíÇ)
Muntazah,ãäÊÒå
Ghawar Restaurant,ãØÚã ÇáÛæÇÑ
Silk House,ÈíÊ ÇáÍÑíÑ
Planet Fashion,ÃÒíÇÁ ÇáßæßÈ
Unique Perfumes,ÚØæÑ İÑíÏÉ ãä äæÚåÇ
Dar Perfumes,ÏÇÑ ááÚØæÑ
Mouda,ãæÏì
Judh Restaurant,ãØÚã ÌæÏ
Fashion Point,äŞØÉ ÇáãæÖÉ
Ataa,ÚØÇÁ
Sanabis,ÇáÓäÇÈÓ
Ashrakt Al-Sharqiyah,ÃÔÑÇßÊ ÇáÔÑŞíÉ
Zain City,ãÏíäÉ Òíä
Jubail University College,ßáíÉ ÇáÌÈíá ÇáÌÇãÚíÉ
Najimat Shoes,ÃÍĞíÉ äÌãÇÊ
Dorob,ÏæÑæÈ
Pakistani,ÈÇßÓÊÇäí
Abanamy Hospital,ãÓÊÔİì ÃÈÇäÇãí
Fertilizer Project,ãÔÑæÚ ÇáÃÓãÏÉ
Mushiri,ãÔíÑí
Raqwani,ÇáÑŞæÇäí
Penshoppe,Penshoppe
Masloum Codstore,Masloum Codstore
Special Bread,ÎÈÒ ÎÇÕ
Darlyn,ÏÇÑáíä
Reem Pizza,ÈíÊÒÇ Ñíã
Maha,ãåÇ
Barkat Super Market,ÓæÈÑ ãÇÑßÊ ÈÑßÇÊ
Saving Corner Center,ãÑßÒ Ñßä ÇáÊæİíÑ
Bait Al-Robyan,ÈíÊ ÇáÑÈíÇä
Bait Al-Musthalik,ÈíÊ ÇáãÓÊŞÈá
Fugro-Suhaimi,İæÛÑæ ÓÍíãí
Neven,äíİíä
Royal Pillow,æÓÇÏÉ ÑæíÇá
My Home,ÈíÊí
Faisal,İíÕá
TravelMate,ÊÑÇİá ãíÊ
Delta Modern Bakeries,ãÎÇÈÒ ÏáÊÇ ÇáÍÏíËÉ
Huthaili Establishment,ãÄÓÓÉ ÍĞíáí
Fish House,ÈíÊ ÇáÓãß
Wadi Al-Hejaz Charcoal,æÇÏí ÇáÍÌÇÒ İÍã
Manal,ãäÇá
Amri Plaza,ÚãÑí ÈáÇÒÇ
Amri Plus for Textiles,ÚãÑí ÈáÓ ááãäÓæÌÇÊ
Jibneys,ÌíÈäíÓ
Ziyad,ÒíÇÏ
Ladin,ÇÏä
Bait Jeddy,ÈíÊ ÌÏí
Mizan Natural,ãíÒÇä ØÈíÚí
Master Point,ãÇÓÊÑ ÈæíäÊ
Opple,ÃæÈá
Malaz Gulf Establishment,ãÄÓÓÉ ãáÇĞ ÇáÎáíÌ
Essa,ÚíÓí
Seasons,ãæÇÓã
Tamimi Co. LTD.,ÔÑßÉ ÇáÊãíãí ÇáãÍÏæÏÉ
Sewing Accessories,ÇßÓÓæÇÑÇÊ ÇáÎíÇØÉ
Faizal Al-Ansari,İíÕá ÇáÃäÕÇÑí
Noor Charcoal,äæÑ İÍã
Tiger,äãÑ
Markaz Flash,"""ãÑßÒ İáÇÔ"""
Fahad Specialist Hospital,ãÓÊÔİì İåÏ ÇáÊÎÕÕí
Fon Fon,İæä İæä
Kabas,ŞÈÇÓ
New Born Baby Gate,ÈæÇÈÉ ÇáØİá ÍÏíË ÇáæáÇÏÉ
Saf Saf Restaurant,ãØÚã Õİ ÕÇİ
Sharq Hotel,İäÏŞ ÔÑŞ
Abdullah Al-Ghunaim Trading Establishment,ãÄÓÓÉ ÚÈÏÇááå ÇáÛäíã ÇáÊÌÇÑíÉ
EPO,ÇáãßÊÈ ÇáÃæÑæÈí ááÈÑÇÁÇÊ
Amoudi,ÇáÚãæÏí
Jokar,ÌæßÇÑ
Toufeer Al-Mathali,ÊæİíÑ ÇáãØÚáí
SWCC Employees,ãæÙİæ ÇáãÄÓÓÉ ÇáÚÇãÉ áãÌáÓ ÇáäæÇÍí
ATT Group,ãÌãæÚÉ ATT
Red Onion,ÈÕá ÃÍãÑ
Huraith Tailor,ÎíÇØ ÍÑíË
Nassej Shahaba,äÇÓíÌ ÔåÇÈÇ
Maghlouth Store,ãÊÌÑ ãÛáæË
ACT,İÚá
Mohammed Salim Al-Rashed,ãÍãÏ ÓÇáã ÇáÑÇÔÏ
Tayeb Al-Tazaj,ØíÈ ÇáÊÒÌ
Yahya Spare Parts,ŞØÚ ÛíÇÑ íÍíì
Shamsi,ÔãÓí
Advance,ÊÑŞì
Prestige,åíÈå
Misk Al-Jenan,ãÓß ÇáÌäÇä
Golden Tulip Resort,ãäÊÌÚ ÌæáÏä ÊæáíÈ
Crown Plaza,ßÑÇæä ÈáÇÒÇ
KSFH,KSFH
Lebanes Bakery,ãÎÈÒ áÈäÇä
Jazeerat Al-Salam Trading Est.,ãÄÓÓÉ ÌÒíÑÉ ÇáÓáÇã ÇáÊÌÇÑíÉ
Eastern Cement Employee Cooperative,ÊÚÇæäíÉ ãæÙİí ÇáÃÓãäÊ ÇáÔÑŞíÉ
Good Morning,ÕÈÇÍ ÇáÎíÑ
Ahmad Abdullah Al-Dawood Est.,ãÄÓÓÉ ÃÍãÏ ÚÈÏÇááå ÇáÏÇæÏ
Fakher Charcoal,İÍã İÇÎÑ
WESCOSA,æíÓßæÒÇ
Taj Restaurant,ãØÚã ÊÇÌ
Burger Stop,ÈÑÌÑ ÓÊæÈ
Royal Chicken,ÏÌÇÌ ÑæíÇá
Barq,ÈÑŞ
Lulu Al-Khaleej,áæáæ ÇáÎáíÌ
Onasa,ÃæäÇÓÇ
Dento Plast Center,ãÑßÒ ÏíäÊæ ÈáÇÓÊ
Gulf Hygenic,ÇáÎáíÌ ááÕÍÉ
Discount Village,ŞÑíÉ ÇáÎÕã
Tawasul Center,ãÑßÒ ÊæÇÕá
Bani Hashem Qanber,Èäí åÇÔã ŞäÈÑ
Shawermat,ÔÇæÑãÇÊ
Yahyah Parts Center,ãÑßÒ ŞØÚ ÛíÇÑ íÍíì
Rose Restaurant,ãØÚã ÑæÒ
Mabshoor House,ÈíÊ ãÈÔæÑ
Gulf Fasterners Company,ÔÑßÉ Ìáİ İÇÓÊäÑ
Super Royal,ÓæÈÑ ÑæíÇá
Classic Charcoal,ÇáİÍã ÇáßáÇÓíßí
Hamra Perfumes,ÍãÑÇ ááÚØæÑ
Hello Romance,ãÑÍÈÇ ÇáÑæãÇäÓíÉ
Wedad Kitchen,ãØÈÎ æÏÇÏ
Ahmad Ice Plant,ãÕäÚ ÃÍãÏ ááËáÌ
Mulla Engineering And Consulting Office,ãßÊÈ ÇáãáÇ ááåäÏÓÉ æÇáÇÓÊÔÇÑÇÊ
Al Bin Humda Electronics,Èä ÍãÏÉ ááÅáßÊÑæäíÇÊ
Computer Bags,ÍŞÇÆÈ ÇáßãÈíæÊÑ
Dana Cattering Services,ÏÇäÉ áÎÏãÇÊ ÇáÊãæíä
Saad Trading,ÓÚÏ ááÊÌÇÑÉ
Alam Al-Thakfidat,ÚÇáã ÇáĞßİíÏÇÊ
Mas Trading,ãÇÓ ááÊÌÇÑÉ
Costa Juice,ÚÕíÑ ßæÓÊÇ
Nawashit Restaurant,ãØÚã äæÇÔíÊ
Hamdani,ÍãÏÇäí
Lawamea,áæÇÚãíÉ
Ashab Al-Khissa,ÃÕÍÇÈ ÇáÎÕÉ
Annaba Shoes Center,ãÑßÒ ÃÍĞíÉ ÚäÇÈÉ
Raiaana Shoes,ÃÍĞíÉ ÑíÇäÇ
Tabuk Shoes & Miss Shoes,ÃÍĞíÉ ÊÈæß æÃÍĞíÉ ãáßÉ ÌãÇá
Fiber Ball Pillow,æÓÇÏÉ ÇáßÑÉ ÇááíİíÉ
Diameters World for Trading,ÃŞØÇÑ ÇáÚÇáã ááÊÌÇÑÉ
Infectious/Biohazardous Waste,ÇáäİÇíÇÊ ÇáãÚÏíÉ / ÇáÎØÑÉ ÈíæáæÌíÇ
Infectious Waste/Biohardous Waste,ÇáäİÇíÇÊ ÇáãÚÏíÉ / ÇáäİÇíÇÊ ÇáÍíæíÉ ÇáÕáÈÉ
Bakhour Charcoal,İÍã ÇáÈÎæÑ
Sabic,ÓÇÈß
ChiCkoos,ÊÔíßæÓ
KKMC Hospital,ãÓÊÔİì KKMC
Hillal,åáÇá
Juton Paints,ÏåÇäÇÊ ÌæÊæä
Abeer 2,ÚÈíÑ 2
Mashriq Al-Khaleej,ãÔÑŞ ÇáÎáíÌ
Seafoods Restaurant,ãØÚã ÇáãÃßæáÇÊ ÇáÈÍÑíÉ
Jamiyah Safwa,ÌÇãÚ ÇáÕİæÉ
Japjapa,ÌÇÈÌÇÈÇ
Jasim,ÌÇÓã
Matco,ãÇÊßæ
Wajaha,æÌÇåÉ
Mohammad Al-Aradi,ãÍãÏ ÇáÚÑÇÏí
Azhar Al-Rabi Co. 5,ÔÑßÉ ÃÒåÑ ÇáÑÈíÚ 5
Azhar Al-Rabi Co. 3,ÔÑßÉ ÃÒåÑ ÇáÑÈíÚ 3
Sharq International School,ãÏÑÓÉ ÔÑŞ ÇáÏæáíÉ
EZ Restaurant,ãØÚã EZ
Keyboard For Computer,áæÍÉ ãİÇÊíÍ ááßãÈíæÊÑ
East Central,ÅíÓÊ ÓäÊÑÇá
Ryan Supermarket,ÑíÇä ÓæÈÑ ãÇÑßÊ
Munjif,ãäÌİ
Platinum Casual,ÈáÇÊíäíæã ßÇÌæÇá
Shamel Plaza,ÔÇãá ÈáÇÒÇ
Steinike Hall (SH),ŞÇÚÉ ÔÊÇíäíß (SH)
Banoosh Foodstuff Est.,ãÄÓÓÉ ÈÇäæÔ ááãæÇÏ ÇáÛĞÇÆíÉ
Shamasi,ÔãÇÓí
Shabba Trading Est.,ãÄÓÓÉ ÔÈÇ ááÊÌÇÑÉ
Red Ribbons,ÔÑÇÆØ ÍãÑÇÁ
Ali Al-Dossary,Úáí ÇáÏæÓÑí
Rehmani,ÑÍãÇäí
Rashid Plaza,ÑÇÔÏ ÈáÇÒÇ
Elegant Palace,ÇáŞÕÑ ÇáÃäíŞ
Sabaya Cosmetics,ÕÈÇíÇ áãÓÊÍÖÑÇÊ ÇáÊÌãíá
Bin Qadeem Stores Trading,ÊÌÇÑÉ ãÎÇÒä Èä ŞÏíã
Bader,ÈÏÑ
Adnan,ÚÏäÇä
Karzakan,ßÑÒßÇä
Karana,ßÇÑÇäÇ
Amary,ÚÇãÑí
Sharqia,ÇáÔÑŞíÉ
Umkhalid,ÃãÎÇáíÏ
Fakhamah,İÎãÉ
Soroor,ÓæÑæÑ
General Store 2,ÇáãÊÌÑ ÇáÚÇã 2
Rashad Center,ãÑßÒ ÑÔÇÏ
Well Done,ÃÍÓäÊ
Dijla Poultry Farm,ãÒÑÚÉ ÏæÇÌä ÏÌáÉ
Sarekh Dammam,ÓÇÑÎ ÇáÏãÇã
S & S Sima,Ó ÂäÏ ÅÓ ÓíãÇ
Layan Auto Parts,áíÇä ŞØÚ ÛíÇÑ ÇáÓíÇÑÇÊ
White Rose,ÇáæÑÏÉ ÇáÈíÖÇÁ
Baby Dream,ÈíÈí ÏÑíã
Jamrat Hajar,ÌãÑÇÊ ÍÌÑ
Kawser,ßæËÑ
Industrial Trading House (ITH),ÈíÊ ÇáÊÌÇÑÉ ÇáÕäÇÚí (ITH)
Tahir Group,ãÌãæÚÉ ÇáØÇåÑ
Mohammed Al-Tamimi,ãÍãÏ ÇáÊãíãí
Ekhtiyar Al-Mustahlaq Super Market,ÓæÈÑ ãÇÑßÊ ÅÎÊíÇÑ ÇáãÓÊŞá.
Crispy and Spicy,ßÑÓÈí ÂäÏ ÓÈÇíÓí
Beauty Scarf,æÔÇÍ ÇáÌãÇá
Shifa AL-Jubail Pharmacy,ÕíÏáíÉ ÔİÇÁ ÇáÌÈíá
Falak,İáß
Adwa Al-Ekhtiyar Center,ãÑßÒ ÚÏæì ÇáÊÎÕÕ
Ayoop,ÃíæÈ
Abayat Al-Hasna,ÚÈÇíÉ ÇáÍÓäÇÁ
DEBAJ AL-RAKI CENTER,ãÑßÒ ÏíÈÇÌ ÇáÑÇßí
Thabeay Restaurant,ãØÚã ĞÈíÚ
roshna,ÑæÔäÇ
Rafa Pharmacy,ÕíÏáíÉ ÑÇİÇ
SARAYA CENTER,ãÑßÒ ÓÑÇíÇ
DAR AL-TOFOLAH,ÏÇÑ ÇáØİæáÉ
MUKHTARAH,ãÎÊÇÑÉ
NASSER TRADING CENTER,ãÑßÒ äÇÕÑ ÇáÊÌÇÑí
Health Pillow,æÓÇÏÉ ÕÍíÉ
K.F.S.H.D.,ß.İ.Ó.Í.Ï.
Khobar Cooperative Clinic,ÚíÇÏÉ ÇáÎÈÑ ÇáÊÚÇæäíÉ
RADI HALAL,ÑÇÖí ÍáÇá
ALAM AL-TAKHFIDAT CENTER,ãÑßÒ Úáã ÇáÊÎÕÕÇÊ
